 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  yes,  yes,  1,  2101.092,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  993.059,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  2745.292,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  yes,  yes,  1,  1649.226,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  1567.026,  0.50,  0.15,  0.70,  -0.35,  -0.60,  -0.20,  0 
 vs,  yes,  yes,  1,  600.132,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  no,  no,  1,  1751.577,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  yes,  yes,  1,  2185.346,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
 vs,  yes,  yes,  1,  697.983,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  yes,  yes,  1,  1158.086,  0.40,  0.35,  0.60,  -0.14,  -0.70,  0.21,  0 
 vs,  yes,  yes,  1,  1735.720,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  no,  no,  1,  2369.526,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  yes,  yes,  1,  1626.903,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
 vs,  no,  no,  1,  2833.960,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  no,  no,  1,  2112.129,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1308.091,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  823.121,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  yes,  yes,  1,  1389.953,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  1686.293,  0.50,  0.10,  0.70,  -0.30,  -0.70,  -0.20,  0 
